Gene,log2FoldChange,pvalue,padj,minus_log10_pvalue,Change
C1QTNF4,0.1708,0.6106,0.9994,0.2142432,Similar
MTCH2,0.0755,0.8079,0.9994,0.092642392,Similar
AGBL2,0.3314,0.398,0.9994,0.400116928,Similar
FNBP4,-0.2667,0.4563,0.9994,0.340749531,Similar
NUP160,0.0156,0.9324,0.9994,0.030397735,Similar
PTPRJ,-0.2009,0.1346,0.9994,0.87095494,Similar
LRRC55,0.1489,0.6309,0.9994,0.200039473,Similar
TNKS1BP1,-0.08966,0.7147,0.9994,0.145876218,Similar
SSRP1,-0.1356,0.4566,0.9994,0.340464093,Similar
P2RX3,-0.128,0.7394,0.9994,0.131120554,Similar
SLC43A3,-0.3729,0.3126,0.9994,0.505011026,Similar
RTN4RL2,-0.1968,0.6145,0.9994,0.211478113,Similar
TIMM10,0.1402,0.4622,0.9994,0.335170059,Similar
SMTNL1,0.1294,0.7415,0.9994,0.129888845,Similar
UBE2L6,0.06444,0.4635,0.9994,0.333950262,Similar
CLP1,0.1367,0.5277,0.9994,0.277612906,Similar
ZDHHC5,-0.06576,0.7406,0.9994,0.130416292,Similar
MED19,0.248,0.1568,0.9994,0.804653942,Similar
TMX2,0.1988,0.2814,0.9994,0.550675907,Similar
C11orf31,-0.0466,0.8184,0.9994,0.087034379,Similar
BTBD18,0.06481,0.8482,0.9994,0.071501732,Similar
CTNND1,0.04461,0.8659,0.9994,0.06253226,Similar
LPXN,-0.3327,0.1897,0.9994,0.721932669,Similar
ZFP91,0.007016,0.9503,0.9994,0.022139271,Similar
GLYATL2,0.1496,0.6413,0.9994,0.19293876,Similar
GLYATL1,0.02389,0.9507,0.9994,0.021956506,Similar
LOC283194,0.1871,0.631,0.9994,0.199970641,Similar
FAM111B,-0.1254,0.7454,0.9994,0.127610612,Similar
FAM111A,-0.4495,0.1112,0.9994,0.953895213,Similar
DTX4,0.2517,0.2995,0.9994,0.523603173,Similar
OSBP,0.1245,0.6321,0.9994,0.19921421,Similar
PATL1,-0.2207,0.1976,0.9994,0.70421306,Similar
STX3,-0.3039,0.3582,0.9994,0.445874418,Similar
MRPL16,0.02163,0.9434,0.9994,0.025304128,Similar
MS4A6A,-0.0111,0.9656,0.9994,0.015202743,Similar
MS4A8B,0.5462,0.1638,0.9994,0.785686103,Similar
CCDC86,-0.08869,0.7502,0.9994,0.12482294,Similar
PRPF19,0.05668,0.7419,0.9994,0.129654629,Similar
TMEM109,-0.4905,0.1705,0.9994,0.768275617,Similar
TMEM132A,0.1182,0.5919,0.9994,0.22775166,Similar
CD6,-0.2174,0.5758,0.9994,0.239728339,Similar
CD5,-0.1226,0.723,0.9994,0.140861703,Similar
VPS37C,-0.2021,0.267,0.9994,0.573488739,Similar
PGA5,-0.08898,0.8134,0.9994,0.089695832,Similar
VWCE,-0.3953,0.2254,0.9994,0.647046088,Similar
TMEM138,-0.05076,0.6632,0.9994,0.178355482,Similar
TMEM216,0.09316,0.6362,0.9994,0.196406335,Similar
CPSF7,0.07115,0.6908,0.9994,0.160647671,Similar
SDHAF2,0.1615,0.5128,0.9994,0.290051983,Similar
PPP1R32,0.1936,0.5781,0.9994,0.237997031,Similar
LRRC10B,0.5248,0.1586,0.9994,0.799696817,Similar
SYT7,0.4953,0.1637,0.9994,0.785951321,Similar
DAGLA,0.3218,0.2349,0.9994,0.629116983,Similar
C11orf10,-0.1344,0.4923,0.9994,0.307770164,Similar
FEN1,0.08652,0.8041,0.9994,0.094689938,Similar
FADS1,0.0162,0.9186,0.9994,0.036873559,Similar
FADS2,-0.02194,0.8498,0.9994,0.070683273,Similar
FADS3,-0.09266,0.7761,0.9994,0.110082317,Similar
BEST1,0.03812,0.909,0.9994,0.041436117,Similar
FTH1,-0.1866,0.3962,0.9994,0.402085529,Similar
ASRGL1,0.1015,0.6626,0.9994,0.178748568,Similar
SCGB1A1,0.2096,0.578,0.9994,0.238072162,Similar
EEF1G,-0.3382,0.1708,0.9994,0.767512134,Similar
TUT1,0.1103,0.7175,0.9994,0.144178095,Similar
MTA2,0.06404,0.6866,0.9994,0.163296201,Similar
EML3,-0.4251,0.1397,0.9994,0.854803594,Similar
ROM1,0.08592,0.7524,0.9994,0.123551213,Similar
B3GAT3,-0.04036,0.858,0.9994,0.066512712,Similar
INTS5,0.1373,0.6582,0.9994,0.181642122,Similar
C11orf48,0.07577,0.719,0.9994,0.14327111,Similar
METTL12,0.1888,0.4433,0.9994,0.353302269,Similar
SNORA57,-0.3129,0.4166,0.9994,0.380280734,Similar
C11orf83,0.08006,0.6377,0.9994,0.195383583,Similar
UBXN1,-0.1379,0.5961,0.9994,0.224680878,Similar
BSCL2,0.2248,0.1745,0.9994,0.758204569,Similar
GNG3,0.3433,0.3067,0.9994,0.513286224,Similar
HNRNPUL2,0.1274,0.1965,0.9994,0.706637445,Similar
TTC9C,-0.06408,0.791,0.9994,0.101823517,Similar
ZBTB3,0.03148,0.8567,0.9994,0.067171233,Similar
POLR2G,-0.0123,0.9442,0.9994,0.024936004,Similar
TAF6L,0.03725,0.8977,0.9994,0.046868775,Similar
TMEM179B,-0.08979,0.7522,0.9994,0.123666671,Similar
TMEM223,0.1698,0.5852,0.9994,0.232695683,Similar
NXF1,0.01095,0.9441,0.9994,0.024982002,Similar
STX5,0.06895,0.7344,0.9994,0.134067332,Similar
WDR74,-0.04141,0.8796,0.9994,0.055714779,Similar
SNORD22,-0.2726,0.4871,0.9994,0.31238187,Similar
SNORD31,-0.09792,0.8022,0.9994,0.095717342,Similar
SNORD29,-0.3248,0.4017,0.9994,0.396098168,Similar
SNORD26,-0.1387,0.7034,0.9994,0.152797636,Similar
SLC22A6,0.159,0.6671,0.9994,0.175809059,Similar
HRASLS5,-0.3517,0.3637,0.9994,0.439256699,Similar
RARRES3,-0.1748,0.6546,0.9994,0.184023999,Similar
HRASLS2,0.3557,0.3579,0.9994,0.446238302,Similar
PLA2G16,-0.08845,0.7751,0.9994,0.110642263,Similar
RTN3,0.1735,0.2872,0.9994,0.541815564,Similar
C11orf95,0.1237,0.5105,0.9994,0.292004254,Similar
MARK2,0.02565,0.8298,0.9994,0.08102657,Similar
RCOR2,0.1445,0.552,0.9994,0.258060922,Similar
NAA40,0.03416,0.8625,0.9994,0.064240896,Similar
COX8A,-0.05937,0.7044,0.9994,0.152180653,Similar
OTUB1,-0.09582,0.6068,0.9994,0.216954428,Similar
MACROD1,-0.1938,0.1783,0.9994,0.748848657,Similar
FLRT1,0.4074,0.2346,0.9994,0.629671992,Similar
STIP1,-0.08447,0.7561,0.9994,0.121420762,Similar
FERMT3,0.1069,0.7373,0.9994,0.132355766,Similar
TRPT1,-0.03946,0.861,0.9994,0.064996849,Similar
NUDT22,-0.0988,0.7535,0.9994,0.122916743,Similar
DNAJC4,-0.1902,0.4442,0.9994,0.352421446,Similar
VEGFB,-0.1855,0.2857,0.9994,0.54408976,Similar
FKBP2,0.1806,0.2013,0.9994,0.696156225,Similar
PPP1R14B,0.04846,0.7804,0.9994,0.107682739,Similar
PLCB3,-0.2288,0.161,0.9994,0.793174124,Similar
BAD,-0.03051,0.8798,0.9994,0.055616042,Similar
GPR137,0.08971,0.41,0.9994,0.387216143,Similar
KCNK4,0.3241,0.3834,0.9994,0.416347891,Similar
C11orf20,0.3824,0.3265,0.9994,0.486116814,Similar
ESRRA,0.02064,0.9362,0.9994,0.028631363,Similar
TRMT112,-0.1196,0.6092,0.9994,0.215240105,Similar
PRDX5,0.07006,0.593,0.9994,0.226945307,Similar
RPS6KA4,-0.2732,0.3326,0.9994,0.478077755,Similar
SLC22A11,0.2821,0.45,0.9994,0.346787486,Similar
NRXN2,0.4051,0.1527,0.9994,0.816160963,Similar
RASGRP2,0.473,0.1517,0.9994,0.819014419,Similar
PYGM,0.1251,0.7306,0.9994,0.136320332,Similar
SF1,-0.01605,0.9071,0.9994,0.042344833,Similar
MAP4K2,-0.04729,0.7538,0.9994,0.122743867,Similar
MEN1,0.05413,0.5438,0.9994,0.264560797,Similar
CDC42BPG,-0.05578,0.8112,0.9994,0.090872058,Similar
EHD1,0.105,0.3473,0.9994,0.459295217,Similar
PPP2R5B,0.287,0.3241,0.9994,0.489320969,Similar
BATF2,0.1833,0.5975,0.9994,0.22366209,Similar
ARL2,-0.01369,0.9457,0.9994,0.024246611,Similar
SAC3D1,0.09061,0.5089,0.9994,0.293367549,Similar
NAALADL1,-0.3172,0.415,0.9994,0.381951903,Similar
CDCA5,-0.3592,0.2519,0.9994,0.598771833,Similar
ZFPL1,-0.03001,0.9158,0.9994,0.038199361,Similar
C11orf2,-0.1371,0.5576,0.9994,0.253677235,Similar
TM7SF2,0.03012,0.9191,0.9994,0.036637234,Similar
ZNHIT2,0.2413,0.267,0.9994,0.573488739,Similar
FAU,-0.192,0.456,0.9994,0.341035157,Similar
MRPL49,0.1534,0.3162,0.9994,0.500038134,Similar
SYVN1,0.02177,0.9261,0.9994,0.033342116,Similar
CAPN1,-0.09788,0.6268,0.9994,0.202871012,Similar
SLC22A20,0.02286,0.9461,0.9994,0.024062958,Similar
POLA2,-0.1242,0.6883,0.9994,0.16222223,Similar
CDC42EP2,0.04054,0.9048,0.9994,0.043447408,Similar
DPF2,-0.03034,0.9136,0.9994,0.039243909,Similar
FRMD8,-0.2745,0.4241,0.9994,0.372531728,Similar
MALAT1,-0.1783,0.6492,0.9994,0.187621489,Similar
SSSCA1,0.1213,0.6281,0.9994,0.201971207,Similar
FAM89B,0.1549,0.3314,0.9994,0.479647496,Similar
EHBP1L1,-0.2971,0.3893,0.9994,0.409715596,Similar
KCNK7,0.4672,0.2271,0.9994,0.643782866,Similar
MAP3K11,0.09867,0.6181,0.9994,0.208941256,Similar
PCNXL3,0.09206,0.438,0.9994,0.358525889,Similar
SIPA1,-0.00587,0.9716,0.9994,0.012512494,Similar
MIR4489,0.1401,0.7052,0.9994,0.151687696,Similar
RELA,-0.03951,0.8301,0.9994,0.080869586,Similar
KAT5,0.05772,0.7489,0.9994,0.125576169,Similar
RNASEH2C,-0.04252,0.8156,0.9994,0.088522783,Similar
AP5B1,0.00906,0.9713,0.9994,0.012646611,Similar
OVOL1,0.08812,0.8222,0.9994,0.085022528,Similar
SNX32,0.09898,0.771,0.9994,0.112945622,Similar
CFL1,-0.05823,0.5893,0.9994,0.229663559,Similar
MUS81,0.1732,0.3534,0.9994,0.451733455,Similar
CTSW,0.3117,0.4261,0.9994,0.370488466,Similar
FIBP,-0.02103,0.93,0.9994,0.031517051,Similar
CCDC85B,-0.1192,0.6353,0.9994,0.197021145,Similar
FOSL1,-0.269,0.4895,0.9994,0.310247304,Similar
C11orf68,0.04471,0.7795,0.9994,0.10818388,Similar
DRAP1,-0.04883,0.703,0.9994,0.153044675,Similar
TSGA10IP,0.05685,0.8837,0.9994,0.053695145,Similar
EIF1AD,0.1205,0.5326,0.9994,0.273598838,Similar
BANF1,-0.07054,0.7004,0.9994,0.154653863,Similar
SF3B2,-0.03942,0.8488,0.9994,0.071194629,Similar
PACS1,-0.01695,0.9423,0.9994,0.025810809,Similar
KLC2,0.316,0.2324,0.9994,0.633763876,Similar
RAB1B,-0.134,0.2556,0.9994,0.592439151,Similar
YIF1A,0.09942,0.6484,0.9994,0.188156994,Similar
BRMS1,0.001928,0.9907,0.9994,0.004057837,Similar
B3GNT1,0.1762,0.2484,0.9994,0.604848408,Similar
SLC29A2,-0.1697,0.3004,0.9994,0.522300072,Similar
MRPL11,-0.1214,0.6302,0.9994,0.200521601,Similar
PELI3,0.2021,0.343,0.9994,0.46470588,Similar
DPP3,-0.1616,0.4464,0.9994,0.350275814,Similar
BBS1,0.02363,0.9094,0.9994,0.04124505,Similar
ZDHHC24,-0.2856,0.1704,0.9994,0.76853041,Similar
CTSF,0.1617,0.6081,0.9994,0.216024997,Similar
CCDC87,0.332,0.3947,0.9994,0.403732874,Similar
CCS,-0.1211,0.5433,0.9994,0.264960295,Similar
RBM4,-0.08285,0.7017,0.9994,0.153848523,Similar
RBM4B,-0.0404,0.8403,0.9994,0.075565636,Similar
SPTBN2,0.3607,0.182,0.9994,0.739928612,Similar
C11orf80,-0.0444,0.8562,0.9994,0.067424777,Similar
RCE1,-0.07104,0.7667,0.9994,0.115374537,Similar
C11orf86,0.07778,0.8375,0.9994,0.077015184,Similar
KDM2A,-0.09479,0.4706,0.9994,0.327348077,Similar
ADRBK1,0.1478,0.5234,0.9994,0.281166282,Similar
ANKRD13D,0.1019,0.6992,0.9994,0.15539858,Similar
SSH3,-0.3858,0.1306,0.9994,0.884056823,Similar
LOC100130987,0.2396,0.3239,0.9994,0.489589052,Similar
CLCF1,0.03212,0.887,0.9994,0.05207638,Similar
RAD9A,0.1167,0.5108,0.9994,0.291749111,Similar
PPP1CA,0.03996,0.8839,0.9994,0.053596866,Similar
TBC1D10C,0.2313,0.548,0.9994,0.261219442,Similar
CARNS1,-0.0752,0.8164,0.9994,0.088097004,Similar
RPS6KB2,-0.09869,0.4951,0.9994,0.305307074,Similar
PTPRCAP,-0.4318,0.1955,0.9994,0.708853238,Similar
CABP4,-0.1873,0.6282,0.9994,0.201902068,Similar
TMEM134,-0.2359,0.2664,0.9994,0.57446578,Similar
AIP,-0.2054,0.4773,0.9994,0.321208566,Similar
PITPNM1,0.1061,0.6197,0.9994,0.207818504,Similar
NDUFV1,-0.002277,0.9905,0.9994,0.00414552,Similar
FAM86C2P,-0.09133,0.8027,0.9994,0.095446737,Similar
UNC93B1,-0.03344,0.9174,0.9994,0.037441264,Similar
ALDH3B1,0.1698,0.6507,0.9994,0.186619193,Similar
NDUFS8,-0.009606,0.957,0.9994,0.019088062,Similar
MIR4691,-0.2478,0.5229,0.9994,0.281581358,Similar
TCIRG1,-0.528,0.1769,0.9994,0.752272167,Similar
CHKA,0.1777,0.5378,0.9994,0.269379202,Similar
SUV420H1,0.06637,0.7145,0.9994,0.145997767,Similar
C11orf24,-0.03506,0.895,0.9994,0.048176965,Similar
LRP5,-0.09935,0.5265,0.9994,0.278601624,Similar
PPP6R3,0.0271,0.8837,0.9994,0.053695145,Similar
GAL,-0.3734,0.2798,0.9994,0.55315229,Similar
MTL5,0.08374,0.7949,0.9994,0.099687503,Similar
MRPL21,0.2597,0.3269,0.9994,0.485585079,Similar
IGHMBP2,0.06462,0.7869,0.9994,0.104080455,Similar
TPCN2,-0.2556,0.3897,0.9994,0.409269594,Similar
MYEOV,-0.02026,0.9536,0.9994,0.020633758,Similar
ORAOV1,0.06591,0.5957,0.9994,0.2249724,Similar
FGF19,-0.583,0.1343,0.9994,0.871923987,Similar
FADD,0.06807,0.7907,0.9994,0.101988261,Similar
PPFIA1,-0.1197,0.3276,0.9994,0.484656107,Similar
CTTN,-0.06571,0.6743,0.9994,0.17114684,Similar
KRTAP5-10,0.1725,0.6566,0.9994,0.182699122,Similar
FAM86C1,0.0209,0.9503,0.9994,0.022139271,Similar
LOC100133315,0.03477,0.9084,0.9994,0.041722874,Similar
RNF121,0.03556,0.7585,0.9994,0.120044415,Similar
IL18BP,-0.1255,0.7334,0.9994,0.134659094,Similar
NUMA1,-0.1452,0.5015,0.9994,0.299729063,Similar
LRTOMT,0.1945,0.4977,0.9994,0.303032359,Similar
LAMTOR1,0.02418,0.9133,0.9994,0.039386542,Similar
C11orf51,0.003046,0.9865,0.9994,0.00590291,Similar
FOLR1,0.1368,0.7271,0.9994,0.138405855,Similar
ARAP1,-0.4479,0.126,0.9994,0.899629455,Similar
STARD10,-0.1817,0.5817,0.9994,0.235300936,Similar
ATG16L2,-0.3062,0.3903,0.9994,0.408601449,Similar
FCHSD2,0.1216,0.6128,0.9994,0.212681243,Similar
P2RY6,-0.4446,0.2303,0.9994,0.637706062,Similar
RELT,-0.2133,0.4459,0.9994,0.350762528,Similar
FAM168A,0.1933,0.2386,0.9994,0.622329561,Similar
PLEKHB1,0.03982,0.9007,0.9994,0.045419837,Similar
RAB6A,0.07371,0.6224,0.9994,0.205930416,Similar
MRPL48,-0.2229,0.4038,0.9994,0.393833685,Similar
CHCHD8,0.07039,0.7226,0.9994,0.141102043,Similar
PAAF1,0.007869,0.9606,0.9994,0.017457418,Similar
DNAJB13,0.5012,0.1843,0.9994,0.734474665,Similar
UCP2,-0.4652,0.1442,0.9994,0.84103474,Similar
UCP3,-0.04192,0.8792,0.9994,0.055912321,Similar
C2CD3,0.1505,0.3213,0.9994,0.493089274,Similar
PPME1,0.09583,0.583,0.9994,0.234331445,Similar
PGM2L1,0.2213,0.4754,0.9994,0.322940823,Similar
LIPT2,-0.04441,0.906,0.9994,0.042871802,Similar
POLD3,-0.04233,0.8824,0.9994,0.054334501,Similar
CHRDL2,0.09601,0.8043,0.9994,0.094581931,Similar
RNF169,-0.1666,0.5597,0.9994,0.252044693,Similar
XRRA1,-0.2716,0.4365,0.9994,0.360015752,Similar
SPCS2,0.06961,0.6619,0.9994,0.179207619,Similar
NEU3,-0.1543,0.5756,0.9994,0.239879215,Similar
LOC100507050,0.2451,0.4225,0.9994,0.374173287,Similar
ARRB1,0.2166,0.4529,0.9994,0.343997679,Similar
RPS3,-0.4164,0.1396,0.9994,0.855114582,Similar
SNORD15B,-0.1216,0.7439,0.9994,0.128485441,Similar
GDPD5,0.232,0.484,0.9994,0.315154638,Similar
MAP6,0.1024,0.7246,0.9994,0.13990167,Similar
DGAT2,-0.01089,0.9763,0.9994,0.010416711,Similar
UVRAG,-0.05394,0.7986,0.9994,0.097670694,Similar
PRKRIR,0.02964,0.8912,0.9994,0.050024822,Similar
C11orf30,0.08051,0.5715,0.9994,0.242983765,Similar
TSKU,-0.3846,0.2944,0.9994,0.531062194,Similar
ACER3,-0.1329,0.513,0.9994,0.289882635,Similar
CAPN5,-0.1492,0.5601,0.9994,0.251734427,Similar
MYO7A,0.09024,0.8127,0.9994,0.09006974,Similar
PAK1,-0.01117,0.9716,0.9994,0.012512494,Similar
AQP11,0.1676,0.4827,0.9994,0.316322701,Similar
CLNS1A,-0.1422,0.3644,0.9994,0.438421632,Similar
RSF1,-0.07371,0.7299,0.9994,0.136736636,Similar
C11orf67,-0.2839,0.2968,0.9994,0.527536103,Similar
INTS4,-0.1261,0.6322,0.9994,0.199145508,Similar
THRSP,0.3731,0.3112,0.9994,0.506960412,Similar
NDUFC2,0.1229,0.605,0.9994,0.218244625,Similar
ALG8,-0.0655,0.7925,0.9994,0.101000729,Similar
KCTD21,0.126,0.6611,0.9994,0.179732843,Similar
GAB2,-0.07026,0.8517,0.9994,0.069713353,Similar
NARS2,0.2793,0.209,0.9994,0.679853714,Similar
ODZ4,-0.08203,0.6484,0.9994,0.188156994,Similar
PRCP,-0.1375,0.5277,0.9994,0.277612906,Similar
C11orf82,-0.1636,0.6426,0.9994,0.192059279,Similar
RAB30,0.0134,0.97,0.9994,0.013228266,Similar
LOC100506233,0.3033,0.147,0.9994,0.832682665,Similar
PCF11,0.05377,0.6104,0.9994,0.214385475,Similar
ANKRD42,0.05358,0.8483,0.9994,0.071450533,Similar
CCDC90B,0.2204,0.2651,0.9994,0.576590272,Similar
TMEM126B,-0.1864,0.3067,0.9994,0.513286224,Similar
TMEM126A,-0.05257,0.8352,0.9994,0.078209514,Similar
CREBZF,-0.06849,0.8503,0.9994,0.070427821,Similar
CCDC89,-0.07478,0.8351,0.9994,0.078261516,Similar
SYTL2,0.02151,0.9542,0.9994,0.020360588,Similar
PICALM,-0.0647,0.6172,0.9994,0.209574083,Similar
EED,0.1795,0.4391,0.9994,0.357436563,Similar
C11orf73,-0.03854,0.8494,0.9994,0.070887743,Similar
CCDC81,0.1369,0.6828,0.9994,0.165706488,Similar
ME3,-0.327,0.3823,0.9994,0.417595702,Similar
LOC100506368,0.1662,0.6665,0.9994,0.176199846,Similar
TMEM135,-0.3062,0.2292,0.9994,0.639785387,Similar
RAB38,-0.2558,0.513,0.9994,0.289882635,Similar
NAALAD2,-0.0373,0.9116,0.9994,0.040195683,Similar
CHORDC1,-0.1283,0.6889,0.9994,0.161843815,Similar
FAT3,0.2038,0.4144,0.9994,0.382580253,Similar
MTNR1B,0.2237,0.5684,0.9994,0.245345931,Similar
SLC36A4,0.09313,0.5592,0.9994,0.252432837,Similar
CCDC67,-0.3146,0.4145,0.9994,0.382475465,Similar
C11orf75,-0.1873,0.5554,0.9994,0.255394125,Similar
KIAA1731,-0.1542,0.3948,0.9994,0.403622856,Similar
SCARNA9,-0.05934,0.8797,0.9994,0.055665408,Similar
SNORA32,-0.02032,0.9578,0.9994,0.018725167,Similar
SNORA1,-0.2419,0.4436,0.9994,0.353008463,Similar
SNORA18,-0.1638,0.6741,0.9994,0.171275673,Similar
SNORA40,-0.2642,0.4976,0.9994,0.303119628,Similar
TAF1D,-0.3161,0.4068,0.9994,0.390619056,Similar
C11orf54,-0.03863,0.8815,0.9994,0.054777683,Similar
MED17,0.01728,0.9447,0.9994,0.024706085,Similar
VSTM5,0.2131,0.5822,0.9994,0.234927799,Similar
PANX1,0.3055,0.226,0.9994,0.645891561,Similar
MRE11A,-0.2785,0.1554,0.9994,0.808548986,Similar
ANKRD49,0.06954,0.6847,0.9994,0.164499672,Similar
LOC643037,0.36,0.2991,0.9994,0.524183587,Similar
FUT4,-0.04672,0.8851,0.9994,0.053007659,Similar
PIWIL4,-0.5731,0.1415,0.9994,0.84924356,Similar
AMOTL1,-0.1647,0.3387,0.9994,0.470184803,Similar
CWC15,-0.05847,0.7591,0.9994,0.119701009,Similar
KDM4D,0.2532,0.3466,0.9994,0.460171442,Similar
SRSF8,0.0634,0.6875,0.9994,0.162727297,Similar
SESN3,-0.08749,0.5247,0.9994,0.280088936,Similar
FAM76B,0.02505,0.9212,0.9994,0.035646071,Similar
MAML2,-0.04128,0.8446,0.9994,0.073348923,Similar
JRKL,-0.05307,0.8311,0.9994,0.080346718,Similar
CNTN5,0.2822,0.2282,0.9994,0.64168436,Similar
ARHGAP42,-0.1564,0.5995,0.9994,0.222210813,Similar
TMEM133,-0.1756,0.6177,0.9994,0.209222399,Similar
TRPC6,-0.5265,0.1725,0.9994,0.763210901,Similar
KIAA1377,0.09864,0.7466,0.9994,0.126912014,Similar
C11orf70,0.2986,0.4409,0.9994,0.355659901,Similar
YAP1,-0.1249,0.6492,0.9994,0.187621489,Similar
BIRC3,-0.2972,0.4385,0.9994,0.358030402,Similar
BIRC2,0.03408,0.7786,0.9994,0.108685601,Similar
TMEM123,-0.2265,0.2943,0.9994,0.531209738,Similar
MMP1,-0.2333,0.5513,0.9994,0.258612008,Similar
DCUN1D5,0.1541,0.3157,0.9994,0.500725418,Similar
DYNC2H1,-0.1875,0.5503,0.9994,0.259400487,Similar
PDGFD,0.2817,0.32,0.9994,0.494850022,Similar
GRIA4,0.06843,0.8327,0.9994,0.079511435,Similar
AASDHPPT,0.2491,0.1804,0.9994,0.743763467,Similar
GUCY1A2,-0.005105,0.9882,0.9994,0.00515515,Similar
CWF19L2,-0.1558,0.5436,0.9994,0.264720552,Similar
ALKBH8,-0.04012,0.8111,0.9994,0.090925599,Similar
ELMOD1,0.4057,0.2062,0.9994,0.685711339,Similar
LOC643923,0.3014,0.442,0.9994,0.354577731,Similar
SLC35F2,-0.01213,0.9579,0.9994,0.018679827,Similar
RAB39A,-0.02914,0.9366,0.9994,0.028445847,Similar
CUL5,0.1087,0.4506,0.9994,0.346208813,Similar
ACAT1,-0.08608,0.7869,0.9994,0.104080455,Similar
NPAT,0.1295,0.4307,0.9994,0.365825128,Similar
ATM,-0.1609,0.4077,0.9994,0.389659289,Similar
C11orf65,0.4931,0.1706,0.9994,0.768020973,Similar
DDX10,-0.07898,0.6537,0.9994,0.184621515,Similar
C11orf87,0.00989,0.9741,0.9994,0.011396457,Similar
ZC3H12C,0.128,0.5493,0.9994,0.260190401,Similar
RDX,-0.2396,0.3163,0.9994,0.499900808,Similar
FDX1,0.005941,0.9847,0.9994,0.006696062,Similar
ARHGAP20,0.04388,0.8887,0.9994,0.05124482,Similar
C11orf92,-0.4058,0.2887,0.9994,0.539553216,Similar
C11orf93,0.1097,0.7759,0.9994,0.110194248,Similar
C11orf88,0.3125,0.4101,0.9994,0.387110231,Similar
SIK2,0.1376,0.4461,0.9994,0.350567777,Similar
PPP2R1B,-0.09565,0.6427,0.9994,0.1919917,Similar
ALG9,0.0345,0.8487,0.9994,0.071245798,Similar
FDXACB1,0.4369,0.1211,0.9994,0.916855857,Similar
C11orf1,-0.08211,0.7695,0.9994,0.113791376,Similar
HSPB2,-0.1394,0.7193,0.9994,0.14308994,Similar
DIXDC1,0.1338,0.3473,0.9994,0.459295217,Similar
DLAT,0.1587,0.5391,0.9994,0.268330668,Similar
PIH1D2,0.1665,0.663,0.9994,0.178486472,Similar
C11orf57,0.017,0.9448,0.9994,0.024660115,Similar
TIMM8B,0.078,0.6943,0.9994,0.158452835,Similar
SDHD,-0.005932,0.9767,0.9994,0.010238812,Similar
BCO2,0.0645,0.8549,0.9994,0.068084683,Similar
PTS,0.2116,0.1863,0.9994,0.729787145,Similar
NCAM1,0.0745,0.7995,0.9994,0.097181532,Similar
LOC100288346,0.1361,0.7086,0.9994,0.149598852,Similar
TTC12,0.04984,0.8958,0.9994,0.047788942,Similar
ANKK1,-0.2384,0.5347,0.9994,0.271889816,Similar
DRD2,-0.4285,0.245,0.9994,0.610833916,Similar
TMPRSS5,-0.2794,0.344,0.9994,0.463441557,Similar
ZW10,-0.07936,0.7046,0.9994,0.152057361,Similar
USP28,-0.2372,0.2863,0.9994,0.543178652,Similar
HTR3A,-0.05696,0.8794,0.9994,0.055813539,Similar
ZBTB16,-0.03682,0.9236,0.9994,0.034516076,Similar
C11orf71,0.2682,0.1389,0.9994,0.857297754,Similar
RBM7,-0.1462,0.303,0.9994,0.518557371,Similar
REXO2,-0.429,0.1343,0.9994,0.871923987,Similar
CADM1,-0.255,0.1251,0.9994,0.90274269,Similar
LOC283143,0.009232,0.9804,0.9994,0.008596697,Similar
BUD13,-0.06508,0.7468,0.9994,0.126795691,Similar
ZNF259,-0.09416,0.6286,0.9994,0.201625623,Similar
APOA1,0.1315,0.737,0.9994,0.132532512,Similar
SIK3,0.05304,0.6374,0.9994,0.195587941,Similar
PAFAH1B2,0.1606,0.2738,0.9994,0.562566556,Similar
SIDT2,-0.04153,0.8021,0.9994,0.095771484,Similar
LOC100652768,0.1699,0.63,0.9994,0.200659451,Similar
PCSK7,0.01846,0.9275,0.9994,0.032686082,Similar
RNF214,-0.121,0.6415,0.9994,0.192803339,Similar
BACE1,-0.06062,0.6438,0.9994,0.191249028,Similar
BACE1-AS,0.02243,0.9365,0.9994,0.028492218,Similar
CEP164,-0.1373,0.5423,0.9994,0.265760396,Similar
FXYD6,-0.01369,0.9397,0.9994,0.027010773,Similar
TMPRSS13,-0.5344,0.1731,0.9994,0.761702932,Similar
IL10RA,0.2456,0.5049,0.9994,0.296794629,Similar
SCN4B,-0.3744,0.3393,0.9994,0.46941614,Similar
SCN2B,-0.3112,0.4245,0.9994,0.372122305,Similar
MPZL3,-0.1031,0.7824,0.9994,0.106571158,Similar
MPZL2,-0.061,0.8663,0.9994,0.062331686,Similar
UBE4A,0.03913,0.8322,0.9994,0.079772289,Similar
ATP5L,-0.1468,0.4921,0.9994,0.307946635,Similar
MLL,0.1056,0.7412,0.9994,0.130064589,Similar
TTC36,0.3231,0.2427,0.9994,0.614930224,Similar
TMEM25,0.02946,0.8531,0.9994,0.069000058,Similar
IFT46,0.2197,0.4054,0.9994,0.392116256,Similar
ARCN1,-0.09989,0.5964,0.9994,0.224462365,Similar
PHLDB1,-0.01841,0.9166,0.9994,0.037820147,Similar
TREH,-0.03106,0.9326,0.9994,0.030304589,Similar
DDX6,0.05078,0.6432,0.9994,0.191653964,Similar
UPK2,-0.4823,0.1695,0.9994,0.770830297,Similar
